"","Order","Age","Gender","Time"
"1",130,32," M",9631
"2",265,39," M",10209
"3",314,39," M",10351
"4",490,36," M",10641
"5",547,34," M",10723
"6",708,28," M",10905
"7",834,42," M",11061
"8",944,46," M",11188
"9",1084,32," M",11337
"10",1086,34," M",11338
"11",1132,41," M",11382
"12",1593,36," M",11738
"13",1625,50," M",11761
"14",1735,36," M",11830
"15",1792,40," M",11874
"16",1826,33," M",11897
"17",2052,29," F",12047
"18",2108,28," M",12077
"19",2167,40," M",12115
"20",2505,30," F",12289
"21",2550,28," M",12312
"22",3344,44," M",12639
"23",3376,45," M",12652
"24",4115,45," M",12940
"25",4252,54," M",12986
"26",4459,33," M",13063
"27",4945,49," M",13217
"28",5269,45," M",13315
"29",5286,40," M",13322
"30",5559,26," M",13408
"31",6169,23," F",13593
"32",6235,21," M",13615
"33",6552,50," F",13704
"34",6618,33," M",13722
"35",6904,38," M",13802
"36",6996,40," M",13829
"37",7082,38," M",13851
"38",7093,32," F",13854
"39",7933,50," M",14057
"40",7966,43," M",14066
"41",8011,25," M",14078
"42",8027,39," M",14082
"43",8042,31," M",14086
"44",8186,37," M",14121
"45",8225,46," M",14128
"46",8609,23," F",14216
"47",8707,30," F",14235
"48",8823,24," M",14256
"49",9451,29," M",14375
"50",9630,30," M",14402
"51",10130,36," M",14512
"52",10191,40," M",14528
"53",10556,51," M",14617
"54",10585,51," M",14623
"55",10643,51," M",14632
"56",10821,30," M",14677
"57",10910,38," M",14698
"58",10979,59," M",14720
"59",10982,28," F",14721
"60",11091,49," M",14752
"61",11413,55," M",14836
"62",11699,53," M",14919
"63",11769,53," M",14935
"64",11792,40," M",14942
"65",11869,38," M",14964
"66",11896,35," M",14971
"67",11997,54," M",14996
"68",12019,21," M",15002
"69",12160,33," F",15036
"70",12306,58," F",15077
"71",12683,43," M",15167
"72",12845,33," M",15210
"73",12942,35," M",15232
"74",13226,31," M",15309
"75",13262,38," M",15318
"76",13297,28," F",15326
"77",13434,30," F",15357
"78",13597,23," F",15402
"79",14391,40," M",15608
"80",14633,43," M",15671
"81",14909,43," M",15741
"82",15282,29," M",15825
"83",16030,34," F",16013
"84",16324,30," M",16090
"85",16723,65," M",16194
"86",16840,50," M",16229
"87",17104,37," F",16297
"88",17298,30," F",16352
"89",17436,32," M",16389
"90",17483,19," F",16401
"91",17487,42," M",16402
"92",17694,33," M",16461
"93",18132,42," M",16582
"94",18765,51," M",16752
"95",18783,54," F",16758
"96",18825,32," F",16771
"97",18897,34," F",16792
"98",19002,31," M",16812
"99",19210,50," F",16871
"100",19264,60," M",16886
"101",19278,49," M",16889
"102",19649,51," F",16991
"103",19789,45," M",17034
"104",20425,40," F",17211
"105",20558,30," M",17245
"106",20562,25," M",17246
"107",20580,32," M",17252
"108",20592,34," M",17257
"109",20605,42," F",17260
"110",20700,34," F",17286
"111",20826,52," M",17327
"112",21013,38," M",17396
"113",21017,47," M",17397
"114",21524,34," M",17563
"115",21787,37," F",17636
"116",22009,37," M",17711
"117",22042,31," F",17726
"118",22258,29," F",17799
"119",22285,49," M",17807
"120",22638,31," M",17918
"121",22993,52," M",18041
"122",23092,38," M",18080
"123",24018,30," F",18469
"124",24283,31," F",18580
"125",24290,40," M",18583
"126",24417,50," F",18647
"127",24466,29," M",18677
"128",24649,21," M",18784
"129",24845,53," M",18906
"130",25262,41," M",19164
"131",25287,50," F",19177
"132",25956,45," M",19669
"133",26471,27," F",20084
"134",26545,32," M",20164
"135",26637,53," M",20269
"136",27035,42," F",20675
"137",27046,45," M",20698
"138",27133,39," M",20808
"139",27152,31," M",20841
"140",27196,68," F",20891
"141",27277,51," M",20970
"142",27800,51," M",21649
"143",27955,31," F",21911
"144",27995,25," F",21983
"145",28062,25," M",22087
"146",28085,61," M",22146
"147",28578,31," M",23545
"148",28779,32," M",24384
"149",28986,47," F",25399
"150",29045,61," F",25898
