"Order, ""Age"", ""Gender"", ""Time (sec)"""
130, 32, M, 9631
265, 39, M, 10209
314, 39, M, 10351
490, 36, M, 10641
547, 34, M, 10723
708, 28, M, 10905
834, 42, M, 11061
944, 46, M, 11188
1084, 32, M, 11337
1086, 34, M, 11338
1132, 41, M, 11382
1593, 36, M, 11738
1625, 50, M, 11761
1735, 36, M, 11830
1792, 40, M, 11874
1826, 33, M, 11897
2052, 29, F, 12047
2108, 28, M, 12077
2167, 40, M, 12115
2505, 30, F, 12289
2550, 28, M, 12312
3344, 44, M, 12639
3376, 45, M, 12652
4115, 45, M, 12940
4252, 54, M, 12986
4459, 33, M, 13063
4945, 49, M, 13217
5269, 45, M, 13315
5286, 40, M, 13322
5559, 26, M, 13408
6169, 23, F, 13593
6235, 21, M, 13615
6552, 50, F, 13704
6618, 33, M, 13722
6904, 38, M, 13802
6996, 40, M, 13829
7082, 38, M, 13851
7093, 32, F, 13854
7933, 50, M, 14057
7966, 43, M, 14066
8011, 25, M, 14078
8027, 39, M, 14082
8042, 31, M, 14086
8186, 37, M, 14121
8225, 46, M, 14128
8609, 23, F, 14216
8707, 30, F, 14235
8823, 24, M, 14256
9451, 29, M, 14375
9630, 30, M, 14402
10130, 36, M, 14512
10191, 40, M, 14528
10556, 51, M, 14617
10585, 51, M, 14623
10643, 51, M, 14632
10821, 30, M, 14677
10910, 38, M, 14698
10979, 59, M, 14720
10982, 28, F, 14721
11091, 49, M, 14752
11413, 55, M, 14836
11699, 53, M, 14919
11769, 53, M, 14935
11792, 40, M, 14942
11869, 38, M, 14964
11896, 35, M, 14971
11997, 54, M, 14996
12019, 21, M, 15002
12160, 33, F, 15036
12306, 58, F, 15077
12683, 43, M, 15167
12845, 33, M, 15210
12942, 35, M, 15232
13226, 31, M, 15309
13262, 38, M, 15318
13297, 28, F, 15326
13434, 30, F, 15357
13597, 23, F, 15402
14391, 40, M, 15608
14633, 43, M, 15671
14909, 43, M, 15741
15282, 29, M, 15825
16030, 34, F, 16013
16324, 30, M, 16090
16723, 65, M, 16194
16840, 50, M, 16229
17104, 37, F, 16297
17298, 30, F, 16352
17436, 32, M, 16389
17483, 19, F, 16401
17487, 42, M, 16402
17694, 33, M, 16461
18132, 42, M, 16582
18765, 51, M, 16752
18783, 54, F, 16758
18825, 32, F, 16771
18897, 34, F, 16792
19002, 31, M, 16812
19210, 50, F, 16871
19264, 60, M, 16886
19278, 49, M, 16889
19649, 51, F, 16991
19789, 45, M, 17034
20425, 40, F, 17211
20558, 30, M, 17245
20562, 25, M, 17246
20580, 32, M, 17252
20592, 34, M, 17257
20605, 42, F, 17260
20700, 34, F, 17286
20826, 52, M, 17327
21013, 38, M, 17396
21017, 47, M, 17397
21524, 34, M, 17563
21787, 37, F, 17636
22009, 37, M, 17711
22042, 31, F, 17726
22258, 29, F, 17799
22285, 49, M, 17807
22638, 31, M, 17918
22993, 52, M, 18041
23092, 38, M, 18080
24018, 30, F, 18469
24283, 31, F, 18580
24290, 40, M, 18583
24417, 50, F, 18647
24466, 29, M, 18677
24649, 21, M, 18784
24845, 53, M, 18906
25262, 41, M, 19164
25287, 50, F, 19177
25956, 45, M, 19669
26471, 27, F, 20084
26545, 32, M, 20164
26637, 53, M, 20269
27035, 42, F, 20675
27046, 45, M, 20698
27133, 39, M, 20808
27152, 31, M, 20841
27196, 68, F, 20891
27277, 51, M, 20970
27800, 51, M, 21649
27955, 31, F, 21911
27995, 25, F, 21983
28062, 25, M, 22087
28085, 61, M, 22146
28578, 31, M, 23545
28779, 32, M, 24384
28986, 47, F, 25399
29045, 61, F, 25898
